% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.465000000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
17 0 +4.367200953e+02 +6.451000953e+02 +6.451000953e+02 -2.8114e-02 -4.5561e-02 +2.4010e-02 +3.9755e-01 +8.2632e-01
18 0 +1.174619206e+02 +3.258419206e+02 +3.258419206e+02 -2.8511e-02 -4.7294e-02 +4.4692e-02 +4.9229e-01 +9.5358e-01
19 0 +3.557605851e+01 +2.439560585e+02 +2.439560585e+02 -3.7644e-02 -5.8039e-02 +5.5293e-02 +5.5390e-01 +1.0813e+00
20 0 +2.931483775e+01 +2.376948377e+02 +2.376948377e+02 -2.6692e-02 -4.7142e-02 +6.6410e-02 +5.6343e-01 +1.0787e+00
22 0 +2.508543774e+01 +2.334654377e+02 +2.334654377e+02 -3.2060e-02 -5.4423e-02 +7.1604e-02 +5.7112e-01 +1.0740e+00
23 0 +2.328127089e+01 +2.316612709e+02 +2.316612709e+02 -3.1849e-02 -5.2507e-02 +6.4008e-02 +5.7699e-01 +1.0720e+00
24 0 +1.964461165e+01 +2.280246116e+02 +2.280246116e+02 -3.2054e-02 -5.2811e-02 +6.6057e-02 +5.8563e-01 +1.0766e+00
25 0 +1.599577143e+01 +2.243757714e+02 +2.243757714e+02 -3.1614e-02 -5.2458e-02 +6.8842e-02 +5.9502e-01 +1.0747e+00
26 0 +6.429518658e+00 +2.148095187e+02 +2.148095187e+02 -2.9110e-02 -5.0247e-02 +7.9868e-02 +6.2974e-01 +1.0585e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.449600000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +6.592654473e+03 +6.447694473e+03 +6.447694473e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 0 +6.592557327e+03 +6.447597327e+03 +6.447597327e+03 +1.0000e-01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
8 0 +5.550509845e+03 +5.405549845e+03 +5.405549845e+03 +1.0001e-01 -2.7768e-04 -8.9169e-03 -5.0034e-02 -8.6122e-02
9 0 +2.287799308e+03 +2.142839308e+03 +2.142839308e+03 +1.2489e-01 +2.3358e-02 -2.2764e-02 -2.4228e-01 -4.3494e-01
10 0 +1.118057129e+03 +9.730971285e+02 +9.730971285e+02 +1.7906e-01 +7.6685e-02 +4.9498e-03 -3.3647e-01 -6.3613e-01
11 0 +7.873433749e+02 +6.423833749e+02 +6.423833749e+02 +2.2178e-01 +1.1898e-01 +3.4437e-02 -3.6793e-01 -7.2108e-01
12 0 +6.504995509e+02 +5.055395509e+02 +5.055395509e+02 +2.5547e-01 +1.5240e-01 +5.9722e-02 -3.8138e-01 -7.6854e-01
13 0 +5.021475442e+02 +3.571875442e+02 +3.571875442e+02 +2.4572e-01 +1.4248e-01 +4.4707e-02 -4.2065e-01 -7.9428e-01
