% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.494000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
11 0 +4.755149854e+05 +4.755011354e+05 +4.755011354e+05 -2.1983e+00 +2.1697e+00 -1.5847e+00 +9.3386e-01 -3.8241e+00 -3.9938e-01 -2.5233e+00 -2.0619e+00 +3.7918e+00 -3.4936e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.222300000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.960572990e+06 +3.960695220e+06 +3.960695220e+06 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 0 +3.137772289e+06 +3.137894519e+06 +3.137894519e+06 +2.8930e+00 +3.8933e-02 -4.8696e+00 +1.4758e+00 -2.3285e+00 +3.2143e+00 -3.2649e-01 +2.7634e+00 -1.2697e+00 -2.5445e+00
6 0 +7.049369813e+05 +7.050592113e+05 +7.050592113e+05 +4.6647e+00 +2.9248e+00 +1.4558e+00 +4.8363e+00 +4.1637e+00 +4.6737e+00 +2.4522e+00 +4.4942e+00 -1.4478e+00 -1.2361e+00
9 0 +3.007716131e+05 +3.008938431e+05 +3.008938431e+05 +1.4867e+00 +3.6650e+00 +1.2389e+00 +1.3935e+00 -4.8550e+00 +2.2906e+00 +2.7047e-01 +4.3712e+00 +7.8841e-01 -2.0620e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-4.114000000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.646115923e+07 +2.646074783e+07 +2.646074783e+07 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
4 0 +1.180477883e+07 +1.180436743e+07 +1.180436743e+07 -1.3491e+00 -2.3097e+00 +2.7825e+00 +3.6339e+00 -4.0625e+00 +4.2978e+00 +1.4308e+00 -1.3135e+00 +1.3783e+00 +1.6300e+00
8 0 +4.844536988e+06 +4.844125588e+06 +4.844125588e+06 -1.3843e+00 -3.7455e+00 -4.2814e+00 -5.9502e-01 +4.6309e+00 +4.9801e-01 -4.1990e+00 -4.9391e+00 -2.7979e-01 -1.0278e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.275059722e+07 +1.275159722e+07 +1.275159722e+07 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +6.472735115e+06 +6.473735115e+06 +6.473735115e+06 +1.2390e+00 +4.2839e+00 -1.7725e+00 -3.8997e+00 +1.5471e+00 +1.9340e+00 -2.8472e+00 +2.7913e+00 -6.2146e-01 -2.9369e+00
10 0 +5.296781121e+06 +5.297781121e+06 +5.297781121e+06 -9.5296e-01 -8.8990e-01 +3.5204e-01 -1.6060e-01 +7.2468e-02 +2.4610e+00 -4.4030e+00 +9.4477e-01 -3.4749e+00 -9.9613e-01
11 0 +4.654664751e+06 +4.655664751e+06 +4.655664751e+06 +1.2602e+00 +1.4347e+00 -2.6222e+00 +4.9886e+00 +5.4414e-01 +1.2051e+00 -2.5447e+00 -8.1944e-01 -5.9474e-01 -3.3916e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (6.730000000000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.120256598e+06 +9.120263328e+06 +9.120263328e+06 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
6 0 +4.136144902e+06 +4.136151632e+06 +4.136151632e+06 +2.5268e+00 +3.7276e+00 -3.0529e+00 +1.3019e+00 +1.7772e+00 -3.2781e+00 +4.0272e+00 +3.8193e+00 -4.6609e-01 -4.8159e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (2.632300000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.389285181e+06 +2.389548411e+06 +2.389548411e+06 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
9 0 +8.165687319e+05 +8.168319619e+05 +8.168319619e+05 -3.2377e+00 +2.0960e-01 +3.3580e+00 -4.9685e-01 -1.5465e+00 +1.4076e-01 +2.5675e+00 +1.9152e-01 -7.8759e-01 -1.0217e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.803000000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.866518031e+05 +5.868321031e+05 +5.868321031e+05 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (6.456000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.043593882e+06 +1.043658442e+06 +1.043658442e+06 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-2.171400000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.106823907e+07 +1.106802193e+07 +1.106802193e+07 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
6 0 +7.536742692e+06 +7.536525552e+06 +7.536525552e+06 -2.3488e+00 -1.7747e+00 -4.1100e+00 +1.7939e-01 +3.8328e+00 -5.1455e-01 +1.1628e+00 +4.3491e-01 -6.3694e-01 +2.2094e+00
7 0 +7.068978006e+06 +7.068760866e+06 +7.068760866e+06 +3.6446e+00 +1.1091e+00 -3.3293e+00 +4.8529e+00 -4.2225e+00 -1.4814e+00 -1.4245e+00 -2.3519e+00 -9.2963e-01 +4.6811e+00
8 0 +6.589835410e+06 +6.589618270e+06 +6.589618270e+06 -9.3778e-01 +4.8025e+00 -1.9675e+00 +2.4508e+00 -3.8277e-01 +5.1416e-01 -3.2847e+00 -2.4447e+00 -1.6337e+00 +2.3073e+00
12 0 +2.708062637e+06 +2.707845497e+06 +2.707845497e+06 -2.8750e+00 -2.7161e+00 -3.6734e+00 +4.4982e+00 +1.5446e+00 +2.9253e+00 -1.7209e+00 -1.2706e-01 -4.3470e+00 -2.5266e+00
